headword,sense,concept,similarity,pos,concepticon_pos,sense_id,concepticon_id,include,certainty
naseduk,to pull,PULL,20,Verb,verb,SN001509,1455,1,
nasesak,to be high tide,HIGH TIDE,11,Intransitive verb,noun,SN001511,613,1,
nasirang,to pour,POUR,20,Verb,verb,SN001513,1487,1,
nasomit,to boil,BOIL,20,Verb,verb,SN001515,2493,1,
nasuarik,to be scattered; to be split,SPLIT,12,Verb,verb,SN001516,1437,1,
nasuena,sugar,SUGAR,19,Noun,noun,SN001518,862,1,
nasula,to dance (traditionally),DANCE,12,Verb,verb,SN001520,1879,1,
natanda,to sign,SIGN,11,Verb,noun,SN001524,1720,1,
natangkis,to prevent,PREVENT,20,Verb,verb,SN001525,1550,1,
natobat,to repent,REGRET,12,Verb,verb,SN001529,1875,1,
natuka,to peck; to nibble,PECK,16,Verb,verb,SN001531,3684,1,
natukar,to prick,STAB,12,Verb,verb,SN001532,1434,1,
natulis,to write,WRITE,20,Verb,verb,SN001533,1672,1,
natunggu,to wait,WAIT (FOR),20,Verb,verb,SN001535,1590,1,
naukia,to be siblings,SIBLING,11,Intransitive verb,noun,SN001541,1640,1,
naukiaka,to be siblings,SIBLING,11,Intransitive verb,noun,SN001542,1640,1,
nauleluk,to meet,MEET,20,Verb,verb,SN001544,1831,1,
naun,soil,EARTH (SOIL),19,Noun,noun,SN001545,1228,1,
naun,fruit,FRUIT,19,Noun,noun,SN001546,1507,1,
naun kerkap,clay; red soil,CLAY,15,Noun,noun,SN001547,1399,1,
naunak,to show,SHOW,20,Ditransitive verb,verb,SN001548,1039,1,
naunin,to mark; to recognise,KNOW (SOMEBODY),12,Verb,verb,SN001549,2248,1,
naunin,sign; mark,SIGN,15,Noun,noun,SN001550,1720,1,
naupar,morning,MORNING,19,Noun,noun,SN001551,1339,1,
naurar,to turn around; to circle; to play music on an electronic device; to wander,TURN AROUND,16,Verb,verb,SN001552,1444,1,
nausair,to fight with weapons; to be at war,BE AT WAR,16,Verb,verb,SN001553,2208,1,
nauwar,news,NEWS,19,Noun,noun,SN001554,2964,1,
nawali,to return,COME BACK,20,Verb,verb,SN001556,581,1,
nawanen,to load,LOAD (SOMETHING),20,Verb,verb,SN001558,3669,1,
nawanggar,to wait,WAIT (FOR),20,Verb,verb,SN001559,1590,1,
nawarir,to be high,HIGH,11,Intransitive verb,adjective,SN001562,1265,1,
nawerar,to make; to do,DO,16,Verb,verb,SN001565,813,1,
neba,what,WHAT,19,Question word,other,SN001569,1236,1,
neko,inside,INSIDE,19,Noun,other,SN001574,1606,1,
nene,cicada,CICADA,19,Noun,noun,SN001576,2353,1,
nenggap,why; what,WHAT,15,Question word,other,SN001577,1236,1,
*ner,inside,INSIDE,19,Noun,other,SN001578,1606,1,
nerun,inside,INSIDE,19,Noun,other,SN001579,1606,1,
nerunggo,inside,INSIDE,19,Noun,other,SN001580,1606,1,
newa,"to be the same (length, height, breadth); to fit",SAME,3,Intransitive verb,other,SN001581,200,1,
newer,to pay,PAY,20,Verb,verb,SN001583,718,1,
nika,fishing line,FISHING LINE,19,Noun,noun,SN001585,19,1,
nika,marriage,MARRIAGE,19,Noun,noun,SN001586,2432,1,
nina,grandmother,GRANDMOTHER,19,Noun,noun,SN001588,1496,1,
ning,to be ill; to be sick; to be hurt,HURT (SENSE PAIN),16,Verb,verb,SN001590,2561,1,
ning,illness,DISEASE,19,Noun,noun,SN001591,1986,1,
nokin,to be silent,BE SILENT,20,Verb,verb,SN001592,48,1,
noknok,to whisper,WHISPER,20,Verb,verb,SN001593,55,1,
numur,number,NUMBER,19,Noun,noun,SN001596,1356,1,
nun,sound,SOUND (OF INSTRUMENT OR VOICE),19,Noun,verb,SN001597,2879,1,
nung,to hide,HIDE,20,Verb,verb,SN001598,2486,1,
nunun,to close one's eyes,CLOSE (EYES),20,Verb,verb,SN001600,2063,1,
nyanyi,song,SONG,19,Noun,noun,SN001601,1096,1,
ofin,oven,OVEN,19,Noun,noun,SN001605,1143,1,
*ol,leaf,LEAF,19,Noun,noun,SN001609,628,1,
olun,leaf,LEAF,19,Noun,noun,SN001611,628,1,
opa yuwa,today; earlier today,TODAY,15,Adverbial modifier,other,SN001616,1283,1,
opatun,now,NOW,19,Adverbial modifier,other,SN001617,1376,1,
or,back; tail,TAIL,15,Noun,noun,SN001618,1220,1,
oras,time (of the day),TIME,11,Noun,noun,SN001620,892,1,
orun,tail; back,TAIL,15,Noun,noun,SN001622,1220,1,
os,sand,SAND,19,Noun,noun,SN001623,671,1,
osa,[elevational]; up (there),UP,11,Demonstrative,other,SN001627,1591,1,
osep,beach,BEACH,19,Noun,noun,SN001629,3460,1,
osie,to rest,REST,20,Verb,verb,SN001630,168,1,
our,to fall down (of rain),FALL,12,Verb,verb,SN001636,1280,1,
owa,[far distal]; over there,OVER THERE,15,Demonstrative,other,SN001637,3411,1,
owangga,[lative far distal]; from over there; to over there,OVER THERE,11,Demonstrative,other,SN001638,3411,1,
owatko,[locative far distal]; over there,OVER THERE,15,Demonstrative,other,SN001639,3411,1,
pabalet,fly,FLY (MOVE THROUGH AIR),19,Noun,verb,SN001640,1441,1,
pabie,to carry on the back (like a backpack or with help of a string around the head),CARRY ON BACK,12,Verb,verb,SN001641,465,1,
pabiep,club,CLUB,19,Noun,noun,SN001642,1763,1,
paden,pole,POST,19,Noun,noun,SN001644,281,1,
padi,rice hull; rice plant,RICE PLANT,15,Noun,noun,SN001648,2026,1,
paherma,"to open the eyes; to open (vulgar, possibly sexually meant)",OPEN,12,Verb,verb,SN001651,1156,1,
pak,to chew,CHEW,20,Verb,verb,SN001654,321,1,
pak,moon; month,MOON,15,Noun,noun,SN001655,1313,1,
pak,nail (metal),FINGERNAIL OR TOENAIL,11,Noun,noun,SN001658,1896,1,
pak talawak,new moon,NEW MOON,19,Noun,noun,SN001660,3691,1,
pak tubak,full moon,FULL MOON,19,Phrase,noun,SN001661,3690,1,
pakpak,to braid,BRAID,11,Verb,noun,SN001663,1043,1,
paku,to nail,NAIL,20,Verb,verb,SN001667,3306,1,
palawak,to be slippery,SLIPPERY,11,Intransitive verb,adjective,SN001669,3702,1,
palom,to spit,SPIT,20,Verb,verb,SN001671,1440,1,
palom,spit,SPIT,19,Noun,verb,SN001672,1440,1,
*pan,heap,HEAP,19,Noun,noun,SN001673,2984,1,
panci,pan,PAN,19,Noun,noun,SN001674,31,1,
pang,summit,SUMMIT,19,Noun,noun,SN001677,1614,1,
panggala,to be swollen,SWELL,20,Intransitive verb,verb,SN001679,1573,1,
panggala,cassava,CASSAVA,19,Noun,noun,SN001680,925,1,
panggat,step; big step,STEP,15,Noun,noun,SN001682,1158,1,
panggatpanggat,caterpillar,CATERPILLAR,19,Noun,noun,SN001684,2247,1,
panggawangga,leech,LEECH,19,Noun,noun,SN001685,2273,1,
paning,to ask (a favour); to call (for help),ASK (INQUIRE),12,Verb,verb,SN001687,1309,1,
panok,to order; to ask for permission,ORDER,16,Verb,verb,SN001688,1128,1,
panok,order; permission,ORDER,15,Noun,verb,SN001689,1128,1,
paos,mud,MUD,19,Noun,noun,SN001693,640,1,
parai,owl,OWL,19,Noun,noun,SN001694,735,1,
parair,"to split; to cut lengthwise; to break (of glass, earthenware or plastic)",SPLIT,16,Verb,verb,SN001695,1437,1,
parambura,a curse,CURSE,11,Noun,verb,SN001696,8,1,
paramua,to cut,CUT,20,Verb,verb,SN001697,1432,1,
paramuang,crocodile,CROCODILE,19,Noun,noun,SN001698,1857,1,
paransik,to be near,NEAR,19,Intransitive verb,adjective,SN001700,1942,1,
pararuo,to fly,FLY (MOVE THROUGH AIR),20,Verb,verb,SN001704,1441,1,
paras,embers,EMBERS,19,Noun,noun,SN001705,67,1,
parein,to sell,SELL,20,Ditransitive verb,verb,SN001706,1571,1,
pareinun,price,PRICE,19,Noun,noun,SN001707,657,1,
pareir,to follow,FOLLOW,20,Verb,verb,SN001708,1085,1,
parenta,command,COMMAND,19,Verb,verb,SN001709,1998,1,
paritman,to claw,CLAW,11,Verb,noun,SN001710,72,1,
parlu,to need,NEED (SOMETHING),19,Verb,other,SN001711,2339,1,
parok,limb extremity (finger; toe),TOE,11,Noun,noun,SN001712,1389,1,
parua,to pluck; to pick,PICK,16,Verb,verb,SN001714,2148,1,
paruak,to throw aside; to throw away; to drop,DROP,16,Verb,verb,SN001715,750,1,
parun,wing (of a bird or insect); fin (of a fish),WING,11,Noun,noun,SN001716,1257,1,
paruo,to do; to make,DO,16,Verb,verb,SN001717,813,1,
paruok,to exit (from a room or a vehicle); to fruit,LEAVE,12,Verb,verb,SN001718,1752,1,
pas,female; woman,WOMAN,15,Noun,noun,SN001720,962,1,
pasa,rice,RICE,19,Noun,noun,SN001723,926,1,
pasar,market,MARKET,19,Noun,noun,SN001724,633,1,
pasienggara bot,to defecate,SHIT (DEFECATE),20,Verb,verb,SN001727,676,1,
pasier,sea,SEA,19,Noun,noun,SN001729,1474,1,
pasierbol,shore,SHORE,19,Noun,noun,SN001731,113,1,
pasirwasir,"slightly salty (of food that isn't supposed to be salty, like cake); brackish (of water)",BRACKISH,11,Noun,adjective,SN001732,70,1,
paskot,widow,WIDOW,19,Noun,noun,SN001733,1756,1,
pasor,to fry,FRY,20,Verb,verb,SN001734,991,1,
pasparin,bride price,BRIDE PRICE,19,Noun,noun,SN001735,3024,1,
pat,to sew,SEW,20,Verb,verb,SN001736,1457,1,
pat,wing; fin,WING,15,Noun,noun,SN001737,1257,1,
patin ter,scar,SCAR,19,Noun,noun,SN001740,497,1,
pawan,plank; board,BOARD,19,Noun,noun,SN001744,1227,1,
payiem,to fill,FILL,20,Verb,verb,SN001746,2006,1,
-pe,[first person plural inclusive possessive suffix]; our,OUR,15,Grammatical marker,other,SN001747,780,1,
pebis,woman,WOMAN,19,Noun,noun,SN001749,962,1,
pel,bunch (of e.g. bananas),BUNCH,11,Noun,noun,SN001753,1966,1,
peler,mast,MAST,19,Noun,noun,SN001757,184,1,
pen,to be tasty; to be sweet,SWEET,15,Intransitive verb,adjective,SN001758,717,1,
penyakit,illness (used as part of a curse),DISEASE,11,Noun,noun,SN001759,1986,1,
pep,pig,PIG,19,Noun,noun,SN001761,1337,1,
per,water,WATER,19,Noun,noun,SN001764,948,1,
per kerkap,tea,TEA,19,Noun,noun,SN001766,1373,1,
per kuskap,coffee,COFFEE,19,Noun,noun,SN001767,1299,1,
per paiwai,dragonfly,DRAGONFLY,19,Noun,noun,SN001769,2352,1,
perbol,river bank (lit. watermouth),RIVERBANK,11,Noun,noun,SN001771,3463,1,
perki,waterfall,WATERFALL,19,Noun,noun,SN001772,943,1,
pertam,tears,TEAR (OF EYE),19,Noun,noun,SN001774,1651,1,
perusahan,"company; sometimes used to refer to Malakuli, the village on the mainland, because there used to be a logging company there",COMPANIONSHIP,15,Noun,noun,SN001775,2983,1,
pes,peel; skin; shell,SKIN,15,Noun,noun,SN001777,763,1,
pesawat,plane,AIRPLANE,19,Noun,noun,SN001778,1597,1,
pespes,leftovers (after peeling); trash,GARBAGE,15,Noun,noun,SN001780,909,1,
peti,box; suitcase,BOX,15,Noun,noun,SN001781,1465,1,
pi,[first person plural inclusive pronoun]; we,WE,15,Pronoun,other,SN001782,1212,1,
pier,[first person dual inclusive]; we two,WE TWO,15,Pronoun,other,SN001783,2634,1,
pin,[first person plural inclusive possessive pronoun]; our,OUR,15,Pronoun,other,SN001786,780,1,
pinaninggan,we all,ALL,19,Pronoun,other,SN001787,98,1,
pingan,plate,PLATE,19,Noun,noun,SN001788,480,1,
-pis,side,SIDE,19,Grammatical marker,noun,SN001792,682,1,
pitis,money,MONEY,19,Noun,noun,SN001794,1559,1,
pitisnaharen,change (money),CHANGE,11,Noun,verb,SN001795,1264,1,
po,breadfruit,BREADFRUIT,19,Noun,noun,SN001796,2371,1,
po,to dock; to anchor,ANCHOR,11,Verb,noun,SN001797,1870,1,
pol,sap; latex; gum,SAP,15,Noun,noun,SN001800,345,1,
polas,slice; piece,PIECE,15,Noun,noun,SN001803,594,1,
polkayak,papaya,PAPAYA,19,Noun,noun,SN001804,2445,1,
pos,hole,HOLE,19,Noun,noun,SN001807,1667,1,
pouk,to float,FLOAT,20,Verb,verb,SN001811,1574,1,
poun,bundle,BUNDLE,19,Noun,noun,SN001812,2943,1,
*poup,bundle,BUNDLE,19,Noun,noun,SN001814,2943,1,
poupkon,one (bundle),ONE,11,Quantifier,numeral,SN001816,1493,1,
pue,to hit,HIT,20,Verb,verb,SN001820,1433,1,
pueselet,spider,SPIDER,19,Noun,noun,SN001821,843,1,
pul,wing (of a fish),WING,11,Noun,noun,SN001823,1257,1,
pulem,to blink,BLINK,20,Verb,verb,SN001824,1655,1,
pulma,to pinch,PINCH,20,Transitive verb,verb,SN001827,378,1,
pulor,betel vine,BETEL PEPPER VINE,19,Noun,noun,SN001828,177,1,
pulpul,butterfly; moth,BUTTERFLY,15,Noun,noun,SN001829,1791,1,
pulseka,grasshopper,GRASSHOPPER,19,Noun,noun,SN001831,607,1,
puraman,how many,HOW MANY,19,Quantifier,other,SN001834,822,1,
purap,fifty,FIFTY,19,Quantifier,numeral,SN001835,1717,1,
purir,twenty,TWENTY,19,Quantifier,numeral,SN001837,1710,1,
purir ba kon,twenty-one,TWENTY ONE,19,Quantifier,numeral,SN001838,1734,1,
pururu,"to fall (of a lot of things, possibly in an unruly manner)",FALL,12,Verb,verb,SN001839,1280,1,
pus,foam,FOAM,19,Noun,noun,SN001840,1768,1,
pus,to flower,FLOWER,11,Verb,noun,SN001841,239,1,
pus,flower,FLOWER,19,Noun,noun,SN001842,239,1,
pusir,bow,BOW,19,Noun,noun,SN001844,994,1,
putirie,eighty,EIGHTY,19,Quantifier,numeral,SN001846,1722,1,
putkaninggonie,ninety,NINETY,19,Quantifier,numeral,SN001847,1724,1,
putkansuor,forty,FORTY,19,Quantifier,numeral,SN001849,1716,1,
putkansuor talinggon,forty-one,FORTY ONE,19,Quantifier,numeral,SN001850,3556,1,
putkaruok,thirty,THIRTY,19,Quantifier,numeral,SN001851,1715,1,
putkaruok talinggon,thirty-one,THIRTY ONE,19,Quantifier,numeral,SN001854,3480,1,
putkon,ten,TEN,19,Quantifier,numeral,SN001856,1515,1,
putkon ba ap,fifteen,FIFTEEN,19,Quantifier,numeral,SN001857,1709,1,
putkon ba eir,twelve,TWELVE,19,Quantifier,numeral,SN001858,1707,1,
putkon ba karuok,thirteen,THIRTEEN,19,Quantifier,numeral,SN001859,1708,1,
putkon ba kon,eleven,ELEVEN,19,Quantifier,numeral,SN001860,1706,1,
putraman,sixty,SIXTY,19,Quantifier,numeral,SN001861,1718,1,
putramandalin,seventy,SEVENTY,19,Noun,numeral,SN001862,1721,1,
ra,to hear,HEAR,20,Verb,verb,SN001864,1408,1,
ra,to move along a path; to go; to move away; to install; to become,GO,16,Verb,verb,SN001865,695,1,
rak,shelf; cabinet,SHELF,15,Noun,noun,SN001866,745,1,
raman,six,SIX,19,Quantifier,numeral,SN001871,1703,1,
ramandalin,seven,SEVEN,19,Quantifier,numeral,SN001872,1704,1,
rami,to be crowded,CROWDED,11,Verb,adjective,SN001874,2517,1,
ramie,to pull; to drag,PULL,16,Verb,verb,SN001875,1455,1,
rane,to make noise,MAKE NOISE,20,Verb,verb,SN001877,2895,1,
ranti,chain,CHAIN,19,Noun,noun,SN001880,1627,1,
raor,middle,MIDDLE,19,Noun,other,SN001881,1093,1,
raorko,in the middle,MIDDLE,3,Noun,other,SN001882,1093,1,
rap,to laugh,LAUGH,20,Verb,verb,SN001883,1355,1,
rapat,to be tight,TIGHT,19,Verb,adjective,SN001884,3053,1,
rapat,to meet,MEET,20,Verb,verb,SN001885,1831,1,
rasa,to like,LIKE,20,Verb,verb,SN001888,1117,1,
rasemsem,pimples,PIMPLE,19,Noun,noun,SN001889,1809,1,
reidak,much; many,MANY,15,Quantifier,other,SN001891,1198,1,
rein,much,MUCH,19,Quantifier,other,SN001893,3452,1,
reirap,five hundred,FIVE HUNDRED,19,Quantifier,numeral,SN001895,3516,1,
*reit,hundred,HUNDRED,19,Quantifier,numeral,SN001896,1634,1,
reitkon,one hundred,HUNDRED,19,Quantifier,numeral,SN001897,1634,1,
rep,to get; to collect,GET,16,Verb,verb,SN001899,694,1,
rer,to chat; to tell a story,CHAT (WITH SOMEBODY),16,Verb,verb,SN001902,2903,1,
rer,story,STORY,19,Noun,noun,SN001903,2060,1,
resan,hammer,HAMMER,19,Noun,noun,SN001905,1481,1,
-rip,[quality inflection on demonstratives expressing degree (size)]; big (like this/that),BIG,11,Grammatical marker,adjective,SN001906,1202,1,
ripi,thousand,THOUSAND,19,Quantifier,numeral,SN001907,1843,1,
ririn,to be tall,TALL,19,Intransitive verb,adjective,SN001909,711,1,
roba,Wednesday,WEDNESDAY,19,Noun,noun,SN001910,1694,1,
ror,tree; wood,TREE,15,Noun,noun,SN001915,906,1,
ror kulun,bark,BARK,19,Noun,noun,SN001919,1204,1,
ror tabur,tree stump,TREE STUMP,19,Noun,noun,SN001921,241,1,
rorkarok,branch,BRANCH,19,Noun,noun,SN001923,1531,1,
rouk,to fall over,TUMBLE (FALL DOWN),12,Verb,verb,SN001924,2894,1,
roye,to turn,TURN,20,Verb,verb,SN001927,1588,1,
rua,to extinguish; to kill,KILL,16,Verb,verb,SN001928,1417,1,
ruak,"to fall (fruit, when ripe); to loosen (hulls from rice)",FALL,12,Verb,verb,SN001929,1280,1,
ruam,sweat,PERSPIRE OR SWEAT,19,Noun,other,SN001930,2458,1,
ruan,to be swollen,SWELL,20,Intransitive verb,verb,SN001931,1573,1,
ruar,shark,SHARK,19,Noun,noun,SN001932,1110,1,
ruo,to dig,DIG,20,Verb,verb,SN001942,1418,1,
ruo,to be cooked; to be prepared,COOKED,11,Intransitive verb,adjective,SN001943,269,1,
ruom,beach; at the foot of a mountain,BEACH,15,Noun,noun,SN001944,3460,1,
rup,to help,HELP,20,Verb,verb,SN001946,1897,1,
rurkon,one (string or skewer with things on it),ONE,11,Quantifier,numeral,SN001950,1493,1,
rusa,deer,DEER,19,Noun,noun,SN001951,1936,1,
sa,"to be dry (of trees, plants, fruit, etc.)",DRY UP,12,Intransitive verb,verb,SN001954,1786,1,
sabar,front (of a boat),FRONT (PART),11,Noun,noun,SN001957,2194,1,
sabet,boil,BOIL,19,Noun,verb,SN001960,2493,1,
sabtu,Saturday,SATURDAY,19,Noun,noun,SN001961,1700,1,
sabur,to wear; to dress,WEAR,16,Verb,verb,SN001962,976,1,
sabur,soap,SOAP,19,Noun,noun,SN001963,788,1,
sadawak,machete,MACHETE,19,Noun,noun,SN001964,2680,1,
saerak,[negative existential]; there is no; there are no; to be empty,EMPTY,11,Verb,adjective,SN001965,1624,1,
=saet,just; exclusively; only; all,ALL,15,Adverbial modifier,other,SN001966,98,1,
saidak,true,TRUE,19,Adverbial modifier,adjective,SN001967,1657,1,
saier,taboo; bad luck; offering for good luck,BAD LUCK,15,Noun,noun,SN001968,56,1,
sair,to bake,BAKE,20,Verb,verb,SN001972,183,1,
sairarar,lobster,LOBSTER,19,Noun,noun,SN001973,2397,1,
sakarip,dibble stick; a tool for making holes,DIBBLE STICK,15,Noun,noun,SN001975,3155,1,
sala,to be wrong,WRONG,19,Intransitive verb,adjective,SN001977,1390,1,
salaboung,to be broken; to be split off,BROKEN,11,Verb,adjective,SN001978,588,1,
salak,ten thousand,TEN THOUSAND,19,Quantifier,numeral,SN001981,2078,1,
salir,to change; to switch place,CHANGE,16,Verb,verb,SN001985,1264,1,
sama,to be the same,SAME,19,Verb,other,SN001987,200,1,
samameng,civet cat,NATIVE CAT,19,Noun,noun,SN001988,3018,1,
samar,west; north-west,WEST,15,Noun,noun,SN001989,1817,1,
samor,bead,BEAD,19,Noun,noun,SN001990,1860,1,
sampai,until,UNTIL,19,Conjunction,other,SN001991,2753,1,
sampi,until,UNTIL,19,Adverbial modifier,other,SN001992,2753,1,
sampi,to arrive,ARRIVE,20,Verb,verb,SN001993,1387,1,
samsik,to be thin,THIN,19,Intransitive verb,adjective,SN001994,2308,1,
sanggan,beetle; grub,BEETLE,15,Noun,noun,SN001999,2242,1,
sanggan,lid,"LID (COVER, CAP)",19,Noun,noun,SN002000,2319,1,
sangganggam,to spread out,SPREAD OUT,20,Verb,verb,SN002001,38,1,
sangganun,lid; cork,"LID (COVER, CAP)",15,Noun,noun,SN002002,2319,1,
sanggara,to search,LOOK FOR,20,Verb,verb,SN002003,1468,1,
sanggeran,sago,SAGO,19,Noun,noun,SN002005,2270,1,
sanggien,bird of paradise,BIRD OF PARADISE,19,Noun,noun,SN002007,2673,1,
sanggoup,branch,BRANCH,19,Noun,noun,SN002009,1531,1,
sanggoyie,to be broken (of a branch),BROKEN,11,Intransitive verb,adjective,SN002010,588,1,
sansa,to be dry,DRY,19,Intransitive verb,adjective,SN002012,1398,1,
sansan,to stop,HALT (STOP),20,Verb,verb,SN002014,2880,1,
saor,to anchor,ANCHOR,11,Verb,noun,SN002016,1870,1,
saor,anchor,ANCHOR,19,Noun,noun,SN002017,1870,1,
saouk,to emerge (from water),EMERGE (APPEAR),12,Verb,verb,SN002018,1076,1,
sap,stick,STICK,19,Noun,noun,SN002020,1295,1,
sapi,cow,COW,19,Noun,noun,SN002021,1007,1,
sara,to ascend; to move up; to climb; to harvest,CLIMB,16,Verb,verb,SN002023,1102,1,
saramin,glasses,SPECTACLES,19,Noun,noun,SN002027,1898,1,
sarem,ginger,GINGER,19,Noun,noun,SN002034,2500,1,
sarie,to chase; to follow; to hunt,HUNT,16,Verb,verb,SN002036,1435,1,
sarieng,hill; cliff,HILL,15,Noun,noun,SN002037,614,1,
saroum,to shoot; to germinate,SHOOT,16,Verb,verb,SN002043,1172,1,
saroum,shoot,SHOOT,19,Noun,verb,SN002044,1172,1,
sarua,to shave; to scrape; to sharpen (a wooden object),SHAVE,16,Verb,verb,SN002046,231,1,
sasat,quickly,FAST,19,Adverbial modifier,adjective,SN002051,1631,1,
sasul,to spoon,SPOON,11,Verb,noun,SN002055,1378,1,
sasul,spoon,SPOON,19,Noun,noun,SN002056,1378,1,
saun,night,NIGHT,19,Noun,noun,SN002057,1233,1,
sausaun,to be dark,DARK,19,Intransitive verb,adjective,SN002060,706,1,
sausaun,darkness,DARKNESS,19,Noun,noun,SN002061,11,1,
sawaun,old (not of people); ripe,RIPE,15,Noun,adjective,SN002066,178,1,
se,cuscus; possum,POSSUM,15,Noun,noun,SN002076,470,1,
se,"already; particle with perfective connotations, a.k.a. iamitive",ALREADY,15,Particle,other,SN002077,2576,1,
sebua,goanna; monitor lizard,MONITOR LIZARD,15,Noun,noun,SN002079,3017,1,
sedawak,machete,MACHETE,19,Noun,noun,SN002081,2680,1,
sehingga,so that; with the result that; until,UNTIL,15,Conjunction,other,SN002082,2753,1,
sekola,school,SCHOOL,19,Noun,noun,SN002090,673,1,
selasa,Tuesday,TUESDAY,19,Noun,noun,SN002093,1695,1,
selet,piece,PIECE,19,Noun,noun,SN002094,594,1,
seletkon,"piece (of e.g. clothing, cake, fish, wood, stone, meat)",PIECE,11,Noun,noun,SN002095,594,1,
selinku,to cheat,DECEIVE,20,Verb,verb,SN002097,3230,1,
sem,to be afraid (of),FEAR (BE AFRAID),12,Verb,verb,SN002098,1419,1,
sempang,to kick,KICK,20,Verb,verb,SN002103,1135,1,
senen,Monday,MONDAY,19,Noun,noun,SN002106,1697,1,
seng,roof; thatched roof,ROOF,15,Noun,noun,SN002107,769,1,
sepatu,shoe,SHOE,19,Noun,noun,SN002111,1381,1,
sepe,hat,HAT,19,Noun,noun,SN002112,771,1,
set,bait,BAIT,19,Noun,noun,SN002125,2013,1,
sewa,to pull,PULL,20,Verb,verb,SN002127,1455,1,
siap,to be ready,READY,11,Verb,adjective,SN002134,790,1,
sie,to sting; to prick,STING,16,Verb,verb,SN002135,571,1,
*siep,edge,EDGE,19,Noun,noun,SN002137,863,1,
sietan,ghost (from animal),GHOST,11,Noun,noun,SN002139,1175,1,
sieun,edge,EDGE,19,Noun,noun,SN002140,863,1,
sik,to sneeze,SNEEZE,20,Verb,verb,SN002141,1621,1,
sikan,cat,CAT,19,Noun,noun,SN002143,1208,1,
siktak,then; later,THEN,15,Conjunction,other,SN002147,2921,1,
*silep,back; backside,BACK,15,Noun,noun,SN002153,1291,1,
silepko,to be behind,BEHIND,11,Verb,other,SN002154,1686,1,
sin,needle,NEEDLE (FOR SEWING),19,Noun,noun,SN002156,1382,1,
sinara,offering,SACRIFICE,19,Noun,noun,SN002157,1103,1,
singasingat,(black) ant,ANT,11,Noun,noun,SN002158,587,1,
sir,to be clear,CLEAR (TO SEE),11,Intransitive verb,adjective,SN002162,3710,1,
sira,to salt,SALT,11,Verb,noun,SN002163,1274,1,
sira,salt,SALT,19,Noun,noun,SN002164,1274,1,
siriar,oven,OVEN,19,Noun,noun,SN002167,1143,1,
sirie,to order (someone to do something),ORDER,12,Verb,verb,SN002168,1128,1,
sirisiri,curtain,CURTAIN,19,Noun,noun,SN002169,2621,1,
sisir,to comb,COMB (VERB),20,Verb,verb,SN002171,2070,1,
sisir,comb,COMB,19,Noun,noun,SN002172,1475,1,
sobas,dawn,DAWN,19,Noun,noun,SN002177,729,1,
sol karek,rattan,RATTAN,19,Noun,noun,SN002181,2497,1,
som,person,PERSON,19,Noun,noun,SN002183,683,1,
somin,to be dead,DEAD,11,Intransitive verb,adjective,SN002186,1625,1,
somkabas,stranger,STRANGER,19,Noun,noun,SN002187,791,1,
sontum,person; people,PERSON,15,Noun,noun,SN002189,683,1,
sontumkabas,stranger,STRANGER,19,Noun,noun,SN002192,791,1,
sontur,example; type,TYPE (ON SOMETHING),15,Noun,verb,SN002193,3134,1,
sor,fish,FISH,19,Noun,noun,SN002195,227,1,
sor kangun,fishbone,FISHBONE,19,Noun,noun,SN002196,3799,1,
suara,voice,VOICE,19,Noun,noun,SN002213,1363,1,
suarkang,hole,HOLE,19,Noun,noun,SN002214,1667,1,
suban,to fish,FISHING,20,Verb,verb,SN002215,2638,1,
suensik,to be light (weight),LIGHT (IGNITE),12,Intransitive verb,verb,SN002219,737,1,
suka,to like; to be happy with; to want,WANT,16,Verb,verb,SN002222,1784,1,
sumsik,to be light (weight),LIGHT (IGNITE),12,Intransitive verb,verb,SN002224,737,1,
sungsung,trousers,TROUSERS,19,Noun,noun,SN002228,809,1,
suo,to cut a coconut; to break (of a wave),BREAK (DESTROY OR GET DESTROYED),12,Verb,verb,SN002229,680,1,
suol,back (body part),BACK,19,Noun,noun,SN002232,1291,1,
suolkasir,spine,SPINE,19,Noun,noun,SN002234,805,1,
suopkaling,eel,FRESHWATER EEL,19,Noun,noun,SN002236,1013,1,
suor,horns,HORN (ANATOMY),19,Noun,noun,SN002238,1393,1,
suosuo,to break,BREAK (DESTROY OR GET DESTROYED),20,Verb,verb,SN002240,680,1,
susa,to be difficult,DIFFICULT,19,Verb,adjective,SN002242,584,1,
susia,to be difficult,DIFFICULT,19,Intransitive verb,adjective,SN002243,584,1,
taba,iron; wire,IRON,15,Noun,noun,SN002251,621,1,
tabai,tobacco; tobacco plant; cigarette,TOBACCO,15,Noun,noun,SN002252,974,1,
*tabak,half,HALF,19,Classifier,noun,SN002254,816,1,
tabaktabak,to be small; to be short,SMALL,15,Intransitive verb,adjective,SN002255,1246,1,
tabalaki,tamarind,TAMARIND,19,Noun,noun,SN002256,35,1,
tabaon,to be half,HALF,11,Intransitive verb,noun,SN002259,816,1,
tabarak,to fall; to crash,FALL,16,Verb,verb,SN002260,1280,1,
taberak,jackfruit,JACKFRUIT,19,Noun,noun,SN002262,2655,1,
tabusik,to be short,SHORT,19,Intransitive verb,adjective,SN002268,1645,1,
tadon,to cough,COUGH,20,Verb,verb,SN002269,879,1,
